Sheet,column_index,row_index,Action
Castaways,name,86,Fix
Castaways,name,122,Fix
Castaways,name,146,Fix
Castaways,name,262,Fix
Castaways,name,311,Fix
Castaways,name,374,Fix
Castaways,name,417,Fix
Castaways,name,474,Fix
Castaways,name,505,Fix
Castaways,name,515,Fix
Castaways,name,583,Fix
Castaways,name,611,Fix
Castaways,name,786,Fix
Castaways,name,816,Fix
Castaways,name,826,Fix
Castaways,name,816,Fix
Castaways,name,1390,Fix
Castaways,name,1393,Fix
Castaways,name,1462,Fix
Castaways,name,1614,Fix
Castaways,name,1682,Fix
Castaways,name,1786,Fix
Castaways,name,2168,Fix
Castaways,name,2180,Fix
Castaways,name,2295,Fix
Castaways,name,2346,Fix
Castaways,name,3017,Fix
Castaways,name,3233,Fix
Castaways,name,3255,Fix
Castaways,std_name,86,Fix
Castaways,std_name,122,Fix
Castaways,std_name,146,Fix
Castaways,std_name,262,Fix
Castaways,std_name,311,Fix
Castaways,std_name,374,Fix
Castaways,std_name,417,Fix
Castaways,std_name,474,Fix
Castaways,std_name,505,Fix
Castaways,std_name,515,Fix
Castaways,std_name,786,Fix
Castaways,std_name,816,Fix
Castaways,std_name,826,Fix
Castaways,std_name,861,Fix
Castaways,std_name,1390,Fix
Castaways,std_name,1393,Fix
Castaways,std_name,1462,Fix
Castaways,std_name,1614,Missing
Castaways,std_name,1682,Fix
Castaways,std_name,1786,Fix
Castaways,std_name,2130,Missing
Castaways,std_name,2168,Fix
Castaways,std_name,2180,Fix
Castaways,std_name,2295,Fix
Castaways,std_name,2346,Fix
Castaways,std_name,2369,Missing
Castaways,std_name,3017,Fix
Castaways,std_name,3166,Fix
Castaways,std_name,3186,Fix
Castaways,gender,122,Missing
Castaways,gender,124,Missing
Castaways,gender,397,Missing
Castaways,gender,417,Missing
Castaways,gender,642,Missing
Castaways,gender,760,Missing
Castaways,gender,786,Missing
Castaways,gender,795,Missing
Castaways,gender,808,Missing
Castaways,gender,869,Missing
Castaways,gender,910,Missing
Castaways,gender,917,Missing
Castaways,gender,920,Missing
Castaways,gender,973,Missing
Castaways,gender,1067,Missing
Castaways,gender,1193,Missing
Castaways,gender,1303,Missing
Castaways,gender,1369,Missing
Castaways,gender,1403,Missing
Castaways,gender,1444,Missing
Castaways,gender,1463,Missing
Castaways,gender,1503,Missing
Castaways,gender,1586,Missing
Castaways,gender,1620,Missing
Castaways,gender,1672,Missing
Castaways,gender,1681,Missing
Castaways,gender,1682,Missing
Castaways,gender,1695,Missing
Castaways,gender,1797,Missing
Castaways,gender,1857,Missing
Castaways,gender,2024,Missing
Castaways,gender,2060,Missing
Castaways,gender,2109,Missing
Castaways,gender,2130,Missing
Castaways,gender,2468,Missing
Castaways,gender,2521,Missing
Castaways,gender,2548,Missing
Castaways,gender,2587,Missing
Castaways,gender,2743,Missing
Castaways,gender,3143,Missing
Castaways,gender,3153,Missing
Castaways,gender,3160,Missing
Castaways,gender,3162,Missing
Castaways,gender,3185,Missing
Castaways,gender,3190,Missing
Castaways,gender,3205,Missing
Castaways,profession,2,Missing
Castaways,profession,6,Missing
Castaways,profession,7,Missing
Castaways,profession,8,Missing
Castaways,profession,16,Missing
Castaways,profession,23,Missing
Castaways,profession,26,Missing
Castaways,profession,30,Missing
Castaways,profession,34,Missing
Castaways,profession,44,Missing
Castaways,profession,122,Missing
Castaways,profession,124,Missing
Castaways,profession,186,Missing
Castaways,profession,187,Missing
Castaways,profession,199,Missing
Castaways,profession,205,Missing
Castaways,profession,220,Missing
Castaways,profession,223,Missing
Castaways,profession,225,Missing
Castaways,profession,232,Missing
Castaways,profession,241,Missing
Castaways,profession,247,Missing
Castaways,profession,263,Missing
Castaways,profession,282,Missing
Castaways,profession,311,Missing
Castaways,profession,321,Missing
Castaways,profession,345,Missing
Castaways,profession,364,Missing
Castaways,profession,397,Missing
Castaways,profession,410,Missing
Castaways,profession,411,Missing
Castaways,profession,417,Missing
Castaways,profession,434,Missing
Castaways,profession,436,Missing
Castaways,profession,451,Missing
Castaways,profession,460,Missing
Castaways,profession,466,Missing
Castaways,profession,468,Missing
Castaways,profession,469,Missing
Castaways,profession,470,Missing
Castaways,profession,472,Missing
Castaways,profession,476,Missing
Castaways,profession,499,Missing
Castaways,profession,504,Missing
Castaways,profession,512,Missing
Castaways,profession,522,Missing
Castaways,profession,524,Missing
Castaways,profession,531,Missing
Castaways,profession,545,Missing
Castaways,profession,546,Missing
Castaways,profession,554,Missing
Castaways,profession,559,Missing
Castaways,profession,567,Missing
Castaways,profession,578,Missing
Castaways,profession,595,Missing
Castaways,profession,604,Missing
Castaways,profession,605,Missing
Castaways,profession,612,Missing
Castaways,profession,616,Missing
Castaways,profession,619,Missing
Castaways,profession,620,Missing
Castaways,profession,621,Missing
Castaways,profession,635,Missing
Castaways,profession,636,Missing
Castaways,profession,642,Missing
Castaways,profession,670,Missing
Castaways,profession,672,Missing
Castaways,profession,673,Missing
Castaways,profession,679,Missing
Castaways,profession,681,Missing
Castaways,profession,683,Missing
Castaways,profession,685,Missing
Castaways,profession,696,Missing
Castaways,profession,700,Missing
Castaways,profession,707,Missing
Castaways,profession,708,Missing
Castaways,profession,710,Missing
Castaways,profession,712,Missing
Castaways,profession,721,Missing
Castaways,profession,724,Missing
Castaways,profession,726,Missing
Castaways,profession,730,Missing
Castaways,profession,732,Missing
Castaways,profession,744,Missing
Castaways,profession,746,Missing
Castaways,profession,748,Missing
Castaways,profession,750,Missing
Castaways,profession,760,Missing
Castaways,profession,768,Missing
Castaways,profession,775,Missing
Castaways,profession,786,Missing
Castaways,profession,787,Missing
Castaways,profession,795,Missing
Castaways,profession,796,Missing
Castaways,profession,801,Missing
Castaways,profession,808,Missing
Castaways,profession,842,Missing
Castaways,profession,863,Missing
Castaways,profession,869,Missing
Castaways,profession,887,Missing
Castaways,profession,910,Missing
Castaways,profession,917,Missing
Castaways,profession,920,Missing
Castaways,profession,946,Missing
Castaways,profession,949,Missing
Castaways,profession,967,Missing
Castaways,profession,971,Missing
Castaways,profession,973,Missing
Castaways,profession,985,Missing
Castaways,profession,1004,Missing
Castaways,profession,1039,Missing
Castaways,profession,1067,Missing
Castaways,profession,1068,Missing
Castaways,profession,1077,Missing
Castaways,profession,1102,Missing
Castaways,profession,1107,Missing
Castaways,profession,1139,Missing
Castaways,profession,1168,Missing
Castaways,profession,1172,Missing
Castaways,profession,1189,Missing
Castaways,profession,1193,Missing
Castaways,profession,1231,Missing
Castaways,profession,1233,Missing
Castaways,profession,1244,Missing
Castaways,profession,1254,Missing
Castaways,profession,1300,Missing
Castaways,profession,1303,Missing
Castaways,profession,1308,Missing
Castaways,profession,1369,Missing
Castaways,profession,1379,Missing
Castaways,profession,1386,Missing
Castaways,profession,1412,Missing
Castaways,profession,1444,Missing
Castaways,profession,1458,Missing
Castaways,profession,1463,Missing
Castaways,profession,1482,Missing
Castaways,profession,1497,Missing
Castaways,profession,1503,Missing
Castaways,profession,1586,Missing
Castaways,profession,1593,Missing
Castaways,profession,1604,Missing
Castaways,profession,1620,Missing
Castaways,profession,1636,Missing
Castaways,profession,1637,Missing
Castaways,profession,1639,Missing
Castaways,profession,1645,Missing
Castaways,profession,1651,Missing
Castaways,profession,1656,Missing
Castaways,profession,1657,Missing
Castaways,profession,1659,Missing
Castaways,profession,1670,Missing
Castaways,profession,1672,Missing
Castaways,profession,1673,Missing
Castaways,profession,1678,Missing
Castaways,profession,1681,Missing
Castaways,profession,1682,Missing
Castaways,profession,1683,Missing
Castaways,profession,1689,Missing
Castaways,profession,1695,Missing
Castaways,profession,1707,Missing
Castaways,profession,1715,Missing
Castaways,profession,1718,Missing
Castaways,profession,1720,Missing
Castaways,profession,1726,Missing
Castaways,profession,1744,Missing
Castaways,profession,1745,Missing
Castaways,profession,1772,Missing
Castaways,profession,1775,Missing
Castaways,profession,1784,Missing
Castaways,profession,1789,Missing
Castaways,profession,1795,Missing
Castaways,profession,1789,Missing
Castaways,profession,1795,Missing
Castaways,profession,1797,Missing
Castaways,profession,1819,Missing
Castaways,profession,1837,Missing
Castaways,profession,1857,Missing
Castaways,profession,1893,Missing
Castaways,profession,1899,Missing
Castaways,profession,1901,Missing
Castaways,profession,1914,Missing
Castaways,profession,1920,Missing
Castaways,profession,1931,Missing
Castaways,profession,1954,Missing
Castaways,profession,1957,Missing
Castaways,profession,1968,Missing
Castaways,profession,1971,Missing
Castaways,profession,1972,Missing
Castaways,profession,1979,Missing
Castaways,profession,1981,Missing
Castaways,profession,1983,Missing
Castaways,profession,1988,Missing
Castaways,profession,1994,Missing
Castaways,profession,2002,Missing
Castaways,profession,2005,Missing
Castaways,profession,2024,Missing
Castaways,profession,2029,Missing
Castaways,profession,2038,Missing
Castaways,profession,2052,Missing
Castaways,profession,2056,Missing
Castaways,profession,2060,Missing
Castaways,profession,2065,Missing
Castaways,profession,2080,Missing
Castaways,profession,2092,Missing
Castaways,profession,2093,Missing
Castaways,profession,2094,Missing
Castaways,profession,2100,Missing
Castaways,profession,2109,Missing
Castaways,profession,2124,Missing
Castaways,profession,2130,Missing
Castaways,profession,2133,Missing
Castaways,profession,2135,Missing
Castaways,profession,2138,Missing
Castaways,profession,2140,Missing
Castaways,profession,2141,Missing
Castaways,profession,2150,Missing
Castaways,profession,2156,Missing
Castaways,profession,2182,Missing
Castaways,profession,2194,Missing
Castaways,profession,2203,Missing
Castaways,profession,2220,Missing
Castaways,profession,2230,Missing
Castaways,profession,2232,Missing
Castaways,profession,2234,Missing
Castaways,profession,2235,Missing
Castaways,profession,2240,Missing
Castaways,profession,2245,Missing
Castaways,profession,2246,Missing
Castaways,profession,2252,Missing
Castaways,profession,2256,Missing
Castaways,profession,2261,Missing
Castaways,profession,2265,Missing
Castaways,profession,2267,Missing
Castaways,profession,2286,Missing
Castaways,profession,2290,Missing
Castaways,profession,2300,Missing
Castaways,profession,2312,Missing
Castaways,profession,2327,Missing
Castaways,profession,2342,Missing
Castaways,profession,2353,Missing
Castaways,profession,2355,Missing
Castaways,profession,2359,Missing
Castaways,profession,2378,Missing
Castaways,profession,2381,Missing
Castaways,profession,2388,Missing
Castaways,profession,2390,Missing
Castaways,profession,2391,Missing
Castaways,profession,2394,Missing
Castaways,profession,2398,Missing
Castaways,profession,2401,Missing
Castaways,profession,2404,Missing
Castaways,profession,2407,Missing
Castaways,profession,2410,Missing
Castaways,profession,2411,Missing
Castaways,profession,2413,Missing
Castaways,profession,2414,Missing
Castaways,profession,2417,Missing
Castaways,profession,2418,Missing
Castaways,profession,2424,Missing
Castaways,profession,2427,Missing
Castaways,profession,2428,Missing
Castaways,profession,2439,Missing
Castaways,profession,2454,Missing
Castaways,profession,2455,Missing
Castaways,profession,2468,Missing
Castaways,profession,2496,Missing
Castaways,profession,2500,Missing
Castaways,profession,2521,Missing
Castaways,profession,2521,Missing
Castaways,profession,2528,Missing
Castaways,profession,2534,Missing
Castaways,profession,2548,Missing
Castaways,profession,2550,Missing
Castaways,profession,2587,Missing
Castaways,profession,2643,Missing
Castaways,profession,2647,Missing
Castaways,profession,2659,Missing
Castaways,profession,2691,Missing
Castaways,profession,2695,Missing
Castaways,profession,2699,Missing
Castaways,profession,2701,Missing
Castaways,profession,2723,Missing
Castaways,profession,2729,Missing
Castaways,profession,2743,Missing
Castaways,profession,2747,Missing
Castaways,profession,2750,Missing
Castaways,profession,2753,Missing
Castaways,profession,2754,Missing
Castaways,profession,2763,Missing
Castaways,profession,2775,Missing
Castaways,profession,2783,Missing
Castaways,profession,2806,Missing
Castaways,profession,2816,Missing
Castaways,profession,2835,Missing
Castaways,profession,2840,Missing
Castaways,profession,2841,Missing
Castaways,profession,2851,Missing
Castaways,profession,2855,Missing
Castaways,profession,2858,Missing
Castaways,profession,2862,Missing
Castaways,profession,2870,Missing
Castaways,profession,2873,Missing
Castaways,profession,2891,Missing
Castaways,profession,2902,Missing
Castaways,profession,2903,Missing
Castaways,profession,2906,Missing
Castaways,profession,2908,Missing
Castaways,profession,2923,Missing
Castaways,profession,2929,Missing
Castaways,profession,2936,Missing
Castaways,profession,2952,Missing
Castaways,profession,2954,Missing
Castaways,profession,2957,Missing
Castaways,profession,2962,Missing
Castaways,profession,2967,Missing
Castaways,profession,2972,Missing
Castaways,profession,3004,Missing
Castaways,profession,3015,Missing
Castaways,profession,3021,Missing
Castaways,profession,3075,Missing
Castaways,profession,3076,Missing
Castaways,profession,3081,Missing
Castaways,profession,3082,Missing
Castaways,profession,3088,Missing
Castaways,profession,3110,Missing
Castaways,profession,3128,Missing
Castaways,profession,3135,Missing
Castaways,profession,3136,Missing
Castaways,profession,3143,Missing
Castaways,profession,3153,Missing
Castaways,profession,3160,Missing
Castaways,profession,3162,Missing
Castaways,profession,3185,Missing
Castaways,profession,3190,Missing
Castaways,profession,3205,Missing